OID_;conn_energy_carrier;lat_touch
245;Electricity;69,2311096
246;Electricity;69,2312164
247;Electricity;69,2347336
248;Electricity;69,2175980
249;Electricity;69,2753677
250;Electricity;69,2185745
251;Electricity;69,2396774
252;Electricity;69,2956619
253;Electricity;69,3098602
254;Electricity;69,3100052
255;Electricity;69,3165131
256;Electricity;69,3197403
257;Electricity;69,3207550
258;Electricity;69,3408966
259;Electricity;69,3214874
260;Electricity;69,3762589
261;Electricity;69,3924637
262;Electricity;69,5438004
263;Electricity;69,4994736
264;Electricity;69,5416718
265;Electricity;69,5746155
266;Electricity;69,4437408
267;Electricity;69,6358871
268;Electricity;69,6363144
269;Electricity;69,6440506
270;Electricity;69,6476135
271;Electricity;69,6491318
272;Electricity;69,6736832
273;Electricity;69,6786728
274;Electricity;69,6771469
275;Electricity;69,6793213
276;Electricity;69,6797104
277;Electricity;69,6798325
278;Electricity;69,6813431
279;Electricity;69,6835480
280;Electricity;69,6909409
281;Electricity;69,6927032
282;Electricity;69,4716415
283;Electricity;69,4726105
284;Electricity;69,7582626
285;Electricity;69,7715454
286;Electricity;69,7924423
287;Electricity;69,8062363
288;Electricity;69,9407883
289;Electricity;69,9586334
290;Electricity;69,9589844
291;Electricity;69,9611588
292;Electricity;69,9611511
293;Electricity;69,9649582
294;Electricity;69,9659805
295;Electricity;69,9663620
296;Electricity;69,9667053
297;Electricity;69,9740295
298;Electricity;69,9777374
299;Electricity;69,9094620
300;Electricity;69,6688614
301;Electricity;69,6872635
302;Electricity;70,0510406
303;Electricity;70,0513840
304;Electricity;70,0668869
305;Electricity;69,7206497
306;Electricity;69,7268372
307;Electricity;69,7288895
308;Electricity;69,7288437
309;Electricity;70,2395020
310;Electricity;70,0647736
311;Electricity;70,4320297
312;Electricity;70,0731506
313;Electricity;70,4325790
314;Electricity;70,1715775
315;Electricity;70,4343719
316;Electricity;70,1726532
317;Electricity;70,2005463
318;Electricity;70,0817184
319;Electricity;70,0817871
320;Electricity;70,4776459
321;Electricity;70,4126511
322;Electricity;70,4613190
323;Electricity;70,4613190
324;Electricity;70,6627808
325;Electricity;70,6632233
326;Electricity;70,6639633
327;Electricity;70,6782303
328;Electricity;70,3702164
329;Electricity;70,3700638
330;Electricity;70,3728027
331;Electricity;70,6350327
332;Electricity;70,9975586
333;Electricity;70,9793167
334;Electricity;70,9996033
335;Electricity;70,9459000
