,capacity,x,y
0,7.4,7.5481601,58.0103798
1,7.4,7.5481601,58.0103798
2,7.4,7.5481601,58.0103798
3,7.4,7.5481601,58.0103798
4,3.6,7.0467501,57.9824982
5,3.6,7.0467501,57.9824982
6,7.4,7.0467401,57.9848213
7,7.4,7.0467401,57.9848213
8,7.4,7.0467401,57.9848213
9,7.4,7.0467401,57.9848213
10,7.4,7.0467401,57.9848213
11,7.4,7.0467401,57.9848213
12,7.4,7.0467401,57.9848213
13,7.4,7.0467401,57.9848213
14,7.4,7.0467401,57.9848213
15,7.4,7.0467401,57.9848213
16,22.0,7.4562802,58.0250092
17,22.0,7.4562802,58.0250092
18,50.0,7.4562802,58.0250092
19,50.0,7.4562802,58.0250092
20,22.0,7.4517202,58.0258293
21,22.0,7.4517202,58.0258293
22,50.0,7.4737501,58.0273209
23,50.0,7.4737501,58.0273209
24,3.6,7.4386759,58.0255508
25,3.6,7.4386759,58.0255508
26,3.6,7.4386759,58.0255508
27,3.6,7.4386759,58.0255508
28,50.0,7.4752402,58.0277367
29,50.0,7.4752402,58.0277367
30,22.0,7.4752402,58.0277367
31,50.0,7.4752402,58.0277367
32,22.0,7.4752402,58.0277367
33,50.0,7.4752402,58.0277367
34,11.0,7.4752312,58.0281982
35,22.0,7.461679,58.0285301
36,50.0,7.461679,58.0285301
37,22.0,7.461679,58.0285301
38,22.0,7.461679,58.0285301
39,22.0,7.461679,58.0285301
40,50.0,7.461679,58.0285301
41,22.0,7.461679,58.0285301
42,50.0,7.461679,58.0285301
43,50.0,7.461679,58.0285301
44,7.4,7.45261,58.0281906
45,7.4,7.45261,58.0281906
46,7.4,7.45261,58.0281906
47,7.4,7.45261,58.0281906
48,3.6,7.4616899,58.0292091
49,3.6,7.4616899,58.0292091
50,7.4,7.45576,58.0300903
51,7.4,7.45576,58.0300903
52,150.0,7.48806,58.0336914
53,150.0,7.48806,58.0336914
54,50.0,7.48806,58.0336914
55,150.0,7.48806,58.0336914
56,150.0,7.48806,58.0336914
57,50.0,7.48806,58.0336914
58,150.0,7.48806,58.0336914
59,150.0,7.48806,58.0336914
60,150.0,7.4334149,58.039547
61,50.0,7.4334149,58.039547
62,50.0,7.4334149,58.039547
63,150.0,7.4334149,58.039547
64,150.0,7.4334149,58.039547
65,150.0,7.4334149,58.039547
66,150.0,7.4334149,58.039547
67,150.0,7.4334149,58.039547
68,22.0,7.9991899,58.0807419
69,22.0,7.9991899,58.0807419
70,20.0,7.0007911,58.0231514
71,20.0,7.0007911,58.0231514
72,22.0,7.8579502,58.0777473
73,22.0,7.8579502,58.0777473
