,obj,t
0,608092.1941184,0.5
0,608092.1941184002,0.7
0,608092.1941184,0.9
0,608092.1941184,1.1
0,608092.1941184,1.3
0,608092.1941184,1.5
0,608092.1941184002,1.7000000000000002
0,608092.1941184,1.9000000000000001
