,obj,a
0,140719.292451326,56.1428571428572
0,218414.766765972,112.285714285714
0,296350.252356457,168.428571428571
0,374285.737546943,224.571428571429
0,452221.222837429,280.714285714286
0,530156.708827914,336.857142857143
0,608092.1941184,393
0,686027.679508886,449.142857142857
0,,
