,obj,Ij
0,498774.72737728,0
0,517903.88997728,0.142857142857143
0,537201.7847184,0.285714285714286
0,556893.5641184,0.428571428571429
0,576585.3425184,0.571428571428571
0,596277.1279184,0.714285714285714
0,615968.9075184,0.857142857142857
0,635660.6875184,1
