,obj,p
0,0.0,1.1
0,155758.43058719998,3.1
0,352762.72823599994,5.1
0,549928.3389559999,7.1
0,747093.9496760003,9.1
0,944259.5603960003,11.1
0,1141425.1711160003,13.1
0,1338590.781836,15.1
